queue,second,cpus
cab_auto,1682116000,54
cryo_core,1682116000,96
priority,1682116000,82
interactive,1682116000,52
superdome,1682116000,32
standard,1682116000,12612
archiving,1682116000,1
cryoem,1682116000,808
compbio,1682116000,409
large_mem,1682116000,92
gpu,1682116000,579
compbio_auto,1682116000,148
compbio_auto,1682117000,148
standard,1682117000,16155
priority,1682117000,82
cab_auto,1682117000,54
interactive,1682117000,53
archiving,1682117000,1
superdome,1682117000,32
cryoem,1682117000,808
gpu,1682117000,579
large_mem,1682117000,108
cryo_core,1682117000,96
compbio,1682117000,513
gpu,1682118000,602
standard,1682118000,15623
archiving,1682118000,1
compbio,1682118000,550
cab_auto,1682118000,54
short,1682118000,1
cryoem,1682118000,896
superdome,1682118000,32
compbio_auto,1682118000,148
priority,1682118000,82
interactive,1682118000,53
large_mem,1682118000,124
cryo_core,1682118000,96
cab_auto,1682119000,54
short,1682119000,3
cryo_core,1682119000,72
compbio,1682119000,524
priority,1682119000,81
large_mem,1682119000,108
compbio_auto,1682119000,148
interactive,1682119000,50
gpu,1682119000,577
superdome,1682119000,32
standard,1682119000,16532
archiving,1682119000,1
cryoem,1682119000,812
interactive,1682120000,49
cryo_core,1682120000,72
compbio_auto,1682120000,147
standard,1682120000,13988
gpu,1682120000,577
cryoem,1682120000,812
compbio,1682120000,474
superdome,1682120000,32
archiving,1682120000,1
priority,1682120000,80
cab_auto,1682120000,44
short,1682120000,1
large_mem,1682120000,92
short,1682121000,2
cab_auto,1682121000,39
interactive,1682121000,43
gpu,1682121000,577
compbio,1682121000,522
compbio_auto,1682121000,147
priority,1682121000,79
cryo_core,1682121000,48
cryoem,1682121000,822
superdome,1682121000,32
large_mem,1682121000,92
archiving,1682121000,1
standard,1682121000,12364
priority,1682122000,85
compbio_auto,1682122000,147
standard,1682122000,12646
compbio,1682122000,517
gpu,1682122000,577
interactive,1682122000,41
archiving,1682122000,1
short,1682122000,17
cryo_core,1682122000,48
large_mem,1682122000,92
superdome,1682122000,32
cab_auto,1682122000,49
cryoem,1682122000,710
standard,1682123000,11919
priority,1682123000,87
cryo_core,1682123000,48
large_mem,1682123000,92
superdome,1682123000,32
short,1682123000,13
compbio,1682123000,437
archiving,1682123000,1
gpu,1682123000,449
cab_auto,1682123000,34
cryoem,1682123000,710
interactive,1682123000,38
compbio_auto,1682123000,147
compbio,1682124000,431
cryo_core,1682124000,48
compbio_auto,1682124000,147
standard,1682124000,11693
superdome,1682124000,32
cryoem,1682124000,706
gpu,1682124000,449
archiving,1682124000,1
cab_auto,1682124000,32
large_mem,1682124000,92
short,1682124000,2
interactive,1682124000,38
priority,1682124000,122
priority,1682125000,110
superdome,1682125000,32
cryoem,1682125000,706
compbio_auto,1682125000,147
gpu,1682125000,449
cab_auto,1682125000,12
compbio,1682125000,381
archiving,1682125000,1
interactive,1682125000,38
large_mem,1682125000,92
short,1682125000,4
cryo_core,1682125000,72
standard,1682125000,11694
priority,1682126000,112
standard,1682126000,11655
archiving,1682126000,1
interactive,1682126000,38
compbio_auto,1682126000,147
cryoem,1682126000,706
large_mem,1682126000,92
superdome,1682126000,32
compbio,1682126000,439
short,1682126000,1
gpu,1682126000,449
cryo_core,1682126000,72
interactive,1682127000,38
cryoem,1682127000,706
compbio_auto,1682127000,147
gpu,1682127000,449
cryo_core,1682127000,72
compbio,1682127000,496
superdome,1682127000,32
large_mem,1682127000,92
short,1682127000,1
priority,1682127000,115
standard,1682127000,11629
archiving,1682127000,1
priority,1682128000,117
compbio,1682128000,470
interactive,1682128000,38
standard,1682128000,11654
short,1682128000,1
cryo_core,1682128000,72
cryoem,1682128000,706
superdome,1682128000,32
gpu,1682128000,425
compbio_auto,1682128000,147
archiving,1682128000,1
large_mem,1682128000,92
interactive,1682129000,40
priority,1682129000,131
cryo_core,1682129000,72
archiving,1682129000,1
large_mem,1682129000,92
compbio,1682129000,402
short,1682129000,2
compbio_auto,1682129000,148
cryoem,1682129000,706
superdome,1682129000,32
standard,1682129000,11653
gpu,1682129000,425
superdome,1682130000,32
priority,1682130000,127
compbio,1682130000,377
standard,1682130000,11686
compbio_auto,1682130000,147
cryoem,1682130000,706
archiving,1682130000,1
large_mem,1682130000,92
interactive,1682130000,38
cryo_core,1682130000,96
gpu,1682130000,425
interactive,1682131000,41
cryoem,1682131000,706
gpu,1682131000,449
superdome,1682131000,32
compbio_auto,1682131000,148
compbio,1682131000,356
short,1682131000,1
priority,1682131000,127
archiving,1682131000,1
standard,1682131000,11881
large_mem,1682131000,93
cryo_core,1682131000,72
standard,1682132000,11729
cryo_core,1682132000,72
compbio_auto,1682132000,147
cryoem,1682132000,706
large_mem,1682132000,92
superdome,1682132000,32
short,1682132000,1
gpu,1682132000,425
priority,1682132000,135
compbio,1682132000,402
archiving,1682132000,1
interactive,1682132000,43
standard,1682133000,11731
cryo_core,1682133000,72
superdome,1682133000,32
large_mem,1682133000,92
cryoem,1682133000,706
interactive,1682133000,42
compbio,1682133000,432
gpu,1682133000,425
compbio_auto,1682133000,149
priority,1682133000,158
archiving,1682133000,1
cryo_core,1682134000,72
priority,1682134000,134
compbio,1682134000,396
superdome,1682134000,32
large_mem,1682134000,92
compbio_auto,1682134000,147
archiving,1682134000,1
interactive,1682134000,42
gpu,1682134000,425
cryoem,1682134000,706
standard,1682134000,11663
cryoem,1682135000,706
gpu,1682135000,425
interactive,1682135000,42
compbio,1682135000,405
archiving,1682135000,1
standard,1682135000,11515
superdome,1682135000,32
cryo_core,1682135000,72
priority,1682135000,131
compbio_auto,1682135000,147
large_mem,1682135000,92
superdome,1682136000,32
cryoem,1682136000,706
compbio_auto,1682136000,147
gpu,1682136000,449
standard,1682136000,11448
archiving,1682136000,1
cryo_core,1682136000,72
interactive,1682136000,41
priority,1682136000,133
large_mem,1682136000,92
compbio,1682136000,399
large_mem,1682137000,92
gpu,1682137000,449
interactive,1682137000,41
archiving,1682137000,1
cryoem,1682137000,706
superdome,1682137000,32
compbio,1682137000,417
priority,1682137000,129
compbio_auto,1682137000,145
cryo_core,1682137000,72
standard,1682137000,11367
cryo_core,1682138000,72
large_mem,1682138000,92
superdome,1682138000,32
cryoem,1682138000,706
interactive,1682138000,41
compbio,1682138000,452
priority,1682138000,127
compbio_auto,1682138000,144
standard,1682138000,11355
gpu,1682138000,449
archiving,1682138000,1
archiving,1682139000,1
priority,1682139000,126
cryoem,1682139000,706
cryo_core,1682139000,72
large_mem,1682139000,92
standard,1682139000,11213
superdome,1682139000,32
interactive,1682139000,35
compbio_auto,1682139000,144
gpu,1682139000,449
compbio,1682139000,463
large_mem,1682140000,92
cryo_core,1682140000,72
interactive,1682140000,35
gpu,1682140000,449
cryoem,1682140000,706
standard,1682140000,11414
compbio,1682140000,529
compbio_auto,1682140000,144
superdome,1682140000,32
priority,1682140000,123
archiving,1682140000,1
cryo_core,1682141000,72
compbio_auto,1682141000,144
interactive,1682141000,35
large_mem,1682141000,92
gpu,1682141000,449
standard,1682141000,11355
priority,1682141000,121
archiving,1682141000,1
superdome,1682141000,32
compbio,1682141000,553
cryoem,1682141000,706
gpu,1682142000,449
compbio,1682142000,701
archiving,1682142000,1
superdome,1682142000,32
compbio_auto,1682142000,144
large_mem,1682142000,92
interactive,1682142000,35
cryo_core,1682142000,72
standard,1682142000,11352
priority,1682142000,121
cryoem,1682142000,706
compbio_auto,1682143000,143
large_mem,1682143000,92
standard,1682143000,11474
priority,1682143000,145
cryo_core,1682143000,72
superdome,1682143000,32
gpu,1682143000,449
cryoem,1682143000,706
interactive,1682143000,33
archiving,1682143000,1
compbio,1682143000,738
superdome,1682144000,32
cryoem,1682144000,706
compbio,1682144000,608
cryo_core,1682144000,72
interactive,1682144000,33
standard,1682144000,11622
archiving,1682144000,1
compbio_auto,1682144000,143
large_mem,1682144000,92
priority,1682144000,145
gpu,1682144000,425
compbio_auto,1682145000,143
cryoem,1682145000,706
interactive,1682145000,32
archiving,1682145000,1
superdome,1682145000,32
large_mem,1682145000,92
standard,1682145000,11684
cryo_core,1682145000,72
priority,1682145000,145
compbio,1682145000,382
gpu,1682145000,425
interactive,1682146000,32
compbio_auto,1682146000,143
archiving,1682146000,1
cryo_core,1682146000,72
gpu,1682146000,424
large_mem,1682146000,91
standard,1682146000,11643
priority,1682146000,145
compbio,1682146000,329
superdome,1682146000,32
cryoem,1682146000,834
compbio,1682147000,331
standard,1682147000,11648
cryoem,1682147000,770
gpu,1682147000,424
priority,1682147000,145
cryo_core,1682147000,72
interactive,1682147000,32
compbio_auto,1682147000,142
archiving,1682147000,1
large_mem,1682147000,91
superdome,1682147000,32
interactive,1682148000,32
large_mem,1682148000,91
gpu,1682148000,424
superdome,1682148000,32
standard,1682148000,11593
compbio,1682148000,322
priority,1682148000,145
cryoem,1682148000,706
compbio_auto,1682148000,143
cryo_core,1682148000,72
archiving,1682148000,1
cryo_core,1682149000,72
compbio,1682149000,262
cryoem,1682149000,706
standard,1682149000,11541
gpu,1682149000,424
priority,1682149000,145
large_mem,1682149000,91
superdome,1682149000,32
archiving,1682149000,1
interactive,1682149000,32
compbio_auto,1682149000,140
gpu,1682150000,424
superdome,1682150000,32
large_mem,1682150000,91
archiving,1682150000,1
cryoem,1682150000,642
interactive,1682150000,32
compbio_auto,1682150000,137
cryo_core,1682150000,72
priority,1682150000,145
compbio,1682150000,239
standard,1682150000,11541
compbio,1682151000,226
archiving,1682151000,1
interactive,1682151000,32
priority,1682151000,145
cryoem,1682151000,774
large_mem,1682151000,91
superdome,1682151000,32
compbio_auto,1682151000,137
standard,1682151000,11481
cryo_core,1682151000,72
gpu,1682151000,424
standard,1682152000,11391
gpu,1682152000,424
compbio_auto,1682152000,137
compbio,1682152000,224
large_mem,1682152000,91
cryo_core,1682152000,72
priority,1682152000,137
cryoem,1682152000,708
interactive,1682152000,32
superdome,1682152000,32
archiving,1682152000,1
superdome,1682153000,32
cryo_core,1682153000,72
cryoem,1682153000,708
compbio,1682153000,209
standard,1682153000,11379
gpu,1682153000,424
compbio_auto,1682153000,137
